===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
90,,90,2015-05-12 00:00:00,43.8639225123935,43.99823839636904,43.49934821315036,43.72960662841797,2230400.0,,KDJStrategy,90,735730.0,Broker,90,143.17716391131398,10038.946891883039,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2015-05-13 00:00:00,43.767967224121094,44.132541417102374,43.57608587729767,43.767967224121094,2159800.0,,KDJStrategy,91,735731.0,Broker,91,143.17716391131398,10047.627683936156,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2015-05-14 00:00:00,44.00783265163896,44.43956491084299,43.63366591360662,44.401187896728516,1959600.0,,KDJStrategy,92,735732.0,Broker,92,10101.90791235412,10101.90791235412,BuySell,92,,45.10615838450563,Trades - Net Profit/Loss,92,,-273.5577211323681
93,,93,2015-05-15 00:00:00,44.63144587789275,45.005612612205425,44.54509942691033,44.602664947509766,2831500.0,,KDJStrategy,93,735733.0,Broker,93,10101.90791235412,10101.90791235412,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2015-05-18 00:00:00,44.56428829581675,44.87129708850762,44.43956483008812,44.83292007446289,2890600.0,,KDJStrategy,94,735736.0,Broker,94,513.3526047273263,10159.707346956027,BuySell,94,43.7729713576368,,Trades - Net Profit/Loss,94,,
95,,95,2015-05-19 00:00:00,44.97683342721755,45.753947856383,44.84251753377333,45.5236930847168,3845700.0,,KDJStrategy,95,735737.0,Broker,95,513.3526047273263,10308.335664991058,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2015-05-20 00:00:00,45.54288087795723,45.8690781825624,45.08236768201467,45.360591888427734,2206600.0,,KDJStrategy,96,735738.0,Broker,96,513.3526047273263,10273.242434488271,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2015-05-21 00:00:00,45.40856470197927,45.94582826396101,45.13992926115487,45.85948181152344,3599300.0,,KDJStrategy,97,735739.0,Broker,97,513.3526047273263,10380.584743833977,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2015-05-22 00:00:00,45.773138619020905,45.89786209472091,45.571664768928905,45.696388244628906,1832300.0,,KDJStrategy,98,735740.0,Broker,98,513.3526047273263,10345.493154889358,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2015-05-26 00:00:00,45.590847533466665,46.09933013673018,45.581251450480565,46.00339126586914,3999500.0,,KDJStrategy,99,735744.0,Broker,99,513.3526047273263,10411.548634766657,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2015-05-27 00:00:00,46.03217683338628,47.47128200030686,45.73476044801589,47.442501068115234,5447800.0,,KDJStrategy,100,735745.0,Broker,100,513.3526047273263,10721.19082720979,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2015-05-28 00:00:00,47.28898774107401,47.53843097928281,46.43511942204564,47.116294860839844,4934000.0,,KDJStrategy,101,735746.0,Broker,101,513.3526047273263,10651.003545425132,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2015-05-29 00:00:00,47.432903023695744,47.93179323345511,47.13549031045153,47.749507904052734,5617100.0,,KDJStrategy,102,735747.0,Broker,102,10719.12568978068,10719.12568978068,BuySell,102,,48.65077013195693,Trades - Net Profit/Loss,102,617.2177774265604,
103,,103,2015-06-01 00:00:00,47.89341393770203,48.32514618133717,47.365742822073905,47.759098052978516,4496100.0,,KDJStrategy,103,735750.0,Broker,103,10719.12568978068,10719.12568978068,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2015-06-02 00:00:00,47.70152318451858,47.94137395892209,46.914812937261615,47.56720733642578,2680500.0,,KDJStrategy,104,735751.0,Broker,104,10719.12568978068,10719.12568978068,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2015-06-03 00:00:00,47.85503408251219,47.87422258627023,47.33695546054385,47.538429260253906,1976000.0,,KDJStrategy,105,735752.0,Broker,105,10719.12568978068,10719.12568978068,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2015-06-04 00:00:00,47.05874139934273,47.57682017272647,46.86685996551535,46.914833068847656,2080700.0,,KDJStrategy,106,735753.0,Broker,106,10719.12568978068,10719.12568978068,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2015-06-05 00:00:00,46.722953908638374,47.173871091266065,46.44472599904133,47.02036666870117,2412000.0,,KDJStrategy,107,735754.0,Broker,107,10719.12568978068,10719.12568978068,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2015-06-08 00:00:00,46.77091255377023,47.22183329210195,46.761320130752516,46.81888198852539,1906400.0,,KDJStrategy,108,735757.0,Broker,108,10719.12568978068,10719.12568978068,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2015-06-09 00:00:00,46.69416072396727,47.36574382159003,46.550252412941035,47.241024017333984,2675500.0,,KDJStrategy,109,735758.0,Broker,109,10719.12568978068,10719.12568978068,BuySell,109,,,Trades - Net Profit/Loss,109,,
